Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2022-12-29 09:30:00-05:00,379.63,382.92,379.08,382.3,17593452,0.0,0.0,0.0
2022-12-29 10:30:00-05:00,382.32,383.26,382.27,382.86,9126580,0.0,0.0,0.0
2022-12-29 11:30:00-05:00,382.85,384.24,382.85,383.8,7036883,0.0,0.0,0.0
2022-12-29 12:30:00-05:00,383.8,383.98,383.19,383.6,4059107,0.0,0.0,0.0
2022-12-29 13:30:00-05:00,383.61,384.35,383.34,383.61,5250350,0.0,0.0,0.0
2022-12-29 14:30:00-05:00,383.61,384.09,383.15,383.44,5165310,0.0,0.0,0.0
2022-12-29 15:30:00-05:00,383.43,384.04,383.19,383.36,9029341,0.0,0.0,0.0
2022-12-30 09:30:00-05:00,380.64,381.62,379.02,380.79,11152173,0.0,0.0,0.0
2022-12-30 10:30:00-05:00,380.81,381.55,379.65,379.85,5412940,0.0,0.0,0.0
2022-12-30 11:30:00-05:00,379.8,380.96,379.62,380.76,4431478,0.0,0.0,0.0
2022-12-30 12:30:00-05:00,380.77,381.08,378.43,379.35,5705743,0.0,0.0,0.0
2022-12-30 13:30:00-05:00,379.36,380.05,378.59,379.12,8380167,0.0,0.0,0.0
2022-12-30 14:30:00-05:00,379.14,381.02,378.69,380.3,11169845,0.0,0.0,0.0
2022-12-30 15:30:00-05:00,380.32,382.58,380.2,382.43,22578268,0.0,0.0,0.0
2023-01-03 09:30:00-05:00,384.37,386.43,380.14,380.94,18966193,0.0,0.0,0.0
2023-01-03 10:30:00-05:00,380.16,382.33,379.48,380.03,10055530,0.0,0.0,0.0
2023-01-03 11:30:00-05:00,380.04,380.05,378.43,378.94,8265315,0.0,0.0,0.0
2023-01-03 12:30:00-05:00,378.96,380.02,377.83,379.52,6272148,0.0,0.0,0.0
2023-01-03 13:30:00-05:00,379.52,380.23,378.79,378.99,5515490,0.0,0.0,0.0
2023-01-03 14:30:00-05:00,379.0,381.15,378.09,380.36,9704030,0.0,0.0,0.0
2023-01-03 15:30:00-05:00,380.37,381.3,380.29,380.83,8620851,0.0,0.0,0.0
2023-01-04 09:30:00-05:00,383.18,384.27,380.0,381.65,15910269,0.0,0.0,0.0
2023-01-04 10:30:00-05:00,381.65,383.69,380.86,383.58,8410710,0.0,0.0,0.0
2023-01-04 11:30:00-05:00,383.6,385.88,383.6,385.2,8767655,0.0,0.0,0.0
2023-01-04 12:30:00-05:00,385.2,385.74,383.65,384.83,6004648,0.0,0.0,0.0
2023-01-04 13:30:00-05:00,384.83,385.56,381.2,381.5,11743593,0.0,0.0,0.0
2023-01-04 14:30:00-05:00,381.83,384.08,381.14,382.77,10290375,0.0,0.0,0.0
2023-01-04 15:30:00-05:00,382.76,383.99,381.22,383.73,12739800,0.0,0.0,0.0
2023-01-05 09:30:00-05:00,381.72,381.84,378.89,380.24,18961138,0.0,0.0,0.0
2023-01-05 10:30:00-05:00,380.23,380.7,378.83,379.3,10574300,0.0,0.0,0.0
2023-01-05 11:30:00-05:00,379.29,380.19,379.1,379.75,6044015,0.0,0.0,0.0
2023-01-05 12:30:00-05:00,379.74,381.43,379.04,380.77,7784710,0.0,0.0,0.0
2023-01-05 13:30:00-05:00,380.77,381.47,380.06,380.18,7093374,0.0,0.0,0.0
2023-01-05 14:30:00-05:00,380.19,381.71,379.39,379.62,6932970,0.0,0.0,0.0
2023-01-05 15:30:00-05:00,379.63,379.95,378.92,379.37,10249679,0.0,0.0,0.0
2023-01-06 09:30:00-05:00,382.61,383.96,379.45,382.93,22202039,0.0,0.0,0.0
2023-01-06 10:30:00-05:00,382.93,386.11,382.89,385.34,17048487,0.0,0.0,0.0
2023-01-06 11:30:00-05:00,385.35,386.72,385.0,385.57,8450619,0.0,0.0,0.0
2023-01-06 12:30:00-05:00,385.59,386.23,385.06,386.13,5665396,0.0,0.0,0.0
2023-01-06 13:30:00-05:00,386.14,388.14,386.1,387.75,9815722,0.0,0.0,0.0
2023-01-06 14:30:00-05:00,387.75,389.25,387.71,388.37,10818849,0.0,0.0,0.0
2023-01-06 15:30:00-05:00,388.38,389.07,387.73,388.04,16841126,0.0,0.0,0.0
2023-01-09 09:30:00-05:00,390.37,392.16,389.35,391.42,13099474,0.0,0.0,0.0
2023-01-09 10:30:00-05:00,391.42,393.7,391.42,393.52,8414992,0.0,0.0,0.0
2023-01-09 11:30:00-05:00,393.52,393.64,392.43,392.91,6497702,0.0,0.0,0.0
2023-01-09 12:30:00-05:00,392.91,392.97,391.51,392.0,6694652,0.0,0.0,0.0
2023-01-09 13:30:00-05:00,391.99,392.04,389.87,390.57,10240055,0.0,0.0,0.0
2023-01-09 14:30:00-05:00,390.57,390.74,388.19,388.36,9596222,0.0,0.0,0.0
2023-01-09 15:30:00-05:00,388.36,388.55,387.67,387.87,11053031,0.0,0.0,0.0
2023-01-10 09:30:00-05:00,387.25,389.99,387.02,388.26,13669290,0.0,0.0,0.0
2023-01-10 10:30:00-05:00,388.26,388.8,386.27,388.01,7990937,0.0,0.0,0.0
2023-01-10 11:30:00-05:00,388.01,388.67,387.19,388.07,5492681,0.0,0.0,0.0
2023-01-10 12:30:00-05:00,388.06,389.39,387.96,388.93,5010524,0.0,0.0,0.0
2023-01-10 13:30:00-05:00,388.93,390.13,388.81,389.9,5998109,0.0,0.0,0.0
2023-01-10 14:30:00-05:00,389.91,390.22,388.76,389.5,6514861,0.0,0.0,0.0
2023-01-10 15:30:00-05:00,389.5,390.65,389.29,390.61,9940925,0.0,0.0,0.0
2023-01-11 09:30:00-05:00,392.23,393.16,391.8,393.04,11151146,0.0,0.0,0.0
2023-01-11 10:30:00-05:00,393.05,393.06,391.38,392.61,8097620,0.0,0.0,0.0
2023-01-11 11:30:00-05:00,392.62,393.63,392.32,393.45,6573460,0.0,0.0,0.0
2023-01-11 12:30:00-05:00,393.45,394.28,392.95,393.83,6350520,0.0,0.0,0.0
2023-01-11 13:30:00-05:00,393.85,394.12,393.18,393.81,5246299,0.0,0.0,0.0
2023-01-11 14:30:00-05:00,393.9,394.92,393.77,394.58,8440632,0.0,0.0,0.0
2023-01-11 15:30:00-05:00,394.58,395.6,394.03,395.51,15612618,0.0,0.0,0.0
2023-01-12 09:30:00-05:00,396.67,396.96,392.42,395.92,25860309,0.0,0.0,0.0
2023-01-12 10:30:00-05:00,395.92,396.99,394.36,395.72,11201516,0.0,0.0,0.0
2023-01-12 11:30:00-05:00,395.72,397.93,394.74,397.84,6599773,0.0,0.0,0.0
2023-01-12 12:30:00-05:00,397.84,398.39,395.9,396.2,9310839,0.0,0.0,0.0
2023-01-12 13:30:00-05:00,396.18,398.48,395.53,397.46,9270250,0.0,0.0,0.0
2023-01-12 14:30:00-05:00,397.45,397.98,396.25,396.68,9068495,0.0,0.0,0.0
2023-01-12 15:30:00-05:00,396.68,397.16,395.86,396.94,9617304,0.0,0.0,0.0
2023-01-13 09:30:00-05:00,393.62,396.56,393.34,396.49,13819159,0.0,0.0,0.0
